14:52:52:364 INFO  [pl.edu.agh.cs.kraksim.KraksimRunner]  - Prediction configured with file: null
14:53:11:368 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:369 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:398 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:398 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:428 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:428 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:455 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:455 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:481 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:482 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:509 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:509 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:544 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:544 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:571 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:571 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:598 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:598 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:625 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:625 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
